,id,title,release_year,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1,tm154986,Deliverance,1972,7.7,107673.0,10.01,7.3
2,tm127384,Monty Python and the Holy Grail,1975,8.2,534486.0,15.461,7.811
3,tm120801,The Dirty Dozen,1967,7.7,72662.0,20.398,7.6
5,tm14873,Dirty Harry,1971,7.7,155051.0,12.817,7.5
6,tm119281,Bonnie and Clyde,1967,7.7,112048.0,15.687,7.5
7,tm98978,The Blue Lagoon,1980,5.8,69844.0,50.324,6.156
8,tm44204,The Guns of Navarone,1961,7.5,50748.0,13.844,7.3
9,tm67378,The Professionals,1966,7.3,16446.0,13.123,7.1
17,tm94651,Dostana,1980,2.1,25.0,3.98,4.9
18,tm27298,Saladin the Victorious,1963,7.6,2508.0,4.156,7.1
19,tm100027,Alibaba Aur 40 Chor,1979,6.2,565.0,2.582,6.8
21,tm204541,Dark Waters,1956,6.7,610.0,0.849,5.9
31,tm16812,Bandie,1978,4.4,35.0,1.166,6.0
47,tm40103,Mobile Suit Gundam: Char's Counterattack,1988,7.3,1693.0,8.092,6.7
48,tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,1981,7.2,1274.0,13.125,7.2
52,tm49037,Mobile Suit Gundam III: Encounters in Space,1982,7.6,1236.0,12.741,7.5
55,tm159912,Agneepath,1990,7.6,8947.0,4.062,6.5
65,tm446654,Mujrim,1989,5.4,197.0,1.418,6.0
66,tm348735,Aakhri Adaalat,1988,5.1,92.0,1.374,5.0
68,tm342996,Duniya,1984,6.3,245.0,1.394,6.4640118343195265
70,tm371359,Jaal,1986,5.2,125.0,3.366,5.0
72,tm311264,Muqaddar Ka Faisla,1987,4.8,69.0,2.236,6.4640118343195265
73,tm411457,Pyar Ke Do Pal,1986,6.1,66.0,1.756,6.4640118343195265
74,tm172482,Sohni Mahiwal,1984,6.1,297.0,6.052,5.8
79,tm107744,Mission: Impossible,1996,7.1,420673.0,41.115,6.9
86,tm192037,Starship Troopers,1997,7.3,291452.0,29.5,6.993
87,tm27395,Mission: Impossible II,2000,6.1,337987.0,29.392,6.1
90,tm116655,Léon: The Professional,1994,8.5,1137357.0,51.406,8.323
91,tm116488,Natural Born Killers,1994,7.3,11.0,21.933,7.1
92,tm11556,The Quick and the Dead,1995,6.5,93767.0,13.056,6.5
95,tm49178,Vampires,1998,6.1,58670.0,10.108,6.3
99,tm187187,Last Action Hero,1993,6.4,150498.0,22.196,6.379
101,tm118238,Wyatt Earp,1994,6.7,50774.0,14.677,6.751
102,tm111163,Eraser,1996,6.1,110921.0,19.437,6.0
103,tm190835,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,53152.0,32.569,8.4
105,tm187791,In the Line of Fire,1993,7.2,102916.0,19.8,6.973
107,tm65686,U.S. Marshals,1998,6.5,105286.0,24.205,6.5
108,tm191387,Anaconda,1997,4.8,104213.0,34.405,5.1
110,tm191772,Seven Years in Tibet,1997,7.1,142903.0,13.766,7.2
111,tm12499,The Net,1995,5.9,66667.0,15.935,6.0
112,tm186589,Cliffhanger,1993,6.5,128972.0,27.78,6.5
114,tm10739,Johnny Mnemonic,1995,5.6,71563.0,10.75,5.7
115,tm1822,3 Ninjas Kick Back,1994,4.5,9321.0,12.603,5.5
117,tm192431,The Devil's Own,1997,6.2,65323.0,12.863,6.1
118,tm192199,Spawn,1997,5.2,68184.0,16.989,5.343
120,tm117488,The Next Karate Kid,1994,4.5,30422.0,20.185,5.318
122,tm191431,Double Team,1997,4.8,34396.0,14.599,5.1
127,tm7073,Knight Rider 2000,1991,4.5,3207.0,7.945,5.1
139,tm52871,Soldier,1998,6.2,3063.0,3.623,5.7
146,tm9898,Muthu,1995,7.6,3056.0,3.576,6.9
150,tm58893,Duplicate,1998,5.5,7618.0,4.112,6.0
160,tm340430,Govindha Govindha,1993,6.6,356.0,1.248,4.0
162,tm256669,Gumrah,1993,6.1,795.0,1.763,6.7
165,tm25389,Fiza,2000,6.0,4213.0,2.835,6.3
168,tm334788,Yodha,1991,4.5,198.0,1.554,5.0
170,tm42397,Hello Brother,1999,4.6,4262.0,4.338,5.3
171,tm314602,Dushmani,1995,5.0,249.0,2.045,7.5
175,tm449775,Shikari,1991,5.8,68.0,1.323,5.0
181,tm92641,Inception,2010,8.8,2294231.0,108.284,8.4
182,tm27911,The Departed,2006,8.5,1296244.0,33.795,8.2
184,tm172683,War of the Worlds,2005,6.5,444229.0,36.989,6.474
185,tm42877,Wanted,2008,6.7,384995.0,33.101,6.5
186,tm39030,Casino Royale,2006,8.0,649676.0,40.164,7.518
187,tm997728,Blade Runner: The Final Cut,2007,6.246748323126275,26909.378259595665,0.055091,9.0
191,tm139658,Big Fish,2003,8.0,437650.0,21.158,7.769
